Algoritmo,Numero de estado,Valores de h
Genetic Algorithm,618,9
Genetic Algorithm,619,9
Genetic Algorithm,620,7
Genetic Algorithm,621,13
Genetic Algorithm,622,11
Genetic Algorithm,623,12
Genetic Algorithm,624,14
Genetic Algorithm,625,11
Genetic Algorithm,626,8
Genetic Algorithm,627,11
Genetic Algorithm,628,9
Genetic Algorithm,629,14
Genetic Algorithm,630,16
Genetic Algorithm,631,10
Genetic Algorithm,632,11
Genetic Algorithm,633,15
Genetic Algorithm,634,11
Genetic Algorithm,635,13
Genetic Algorithm,636,11
Genetic Algorithm,637,11
Genetic Algorithm,638,9
Genetic Algorithm,639,12
Genetic Algorithm,640,13
Genetic Algorithm,641,11
Genetic Algorithm,642,14
Genetic Algorithm,643,13
Genetic Algorithm,644,6
Genetic Algorithm,645,8
Genetic Algorithm,646,16
Genetic Algorithm,647,11
Genetic Algorithm,648,13
Genetic Algorithm,649,14
Genetic Algorithm,650,15
Genetic Algorithm,651,9
Genetic Algorithm,652,10
Genetic Algorithm,653,8
Genetic Algorithm,654,12
Genetic Algorithm,655,15
Genetic Algorithm,656,14
Genetic Algorithm,657,9
Genetic Algorithm,658,13
Genetic Algorithm,659,10
Genetic Algorithm,660,9
Genetic Algorithm,661,12
Genetic Algorithm,662,10
Genetic Algorithm,663,10
Genetic Algorithm,664,8
Genetic Algorithm,665,10
Genetic Algorithm,666,8
Genetic Algorithm,667,12
Genetic Algorithm,668,14
Genetic Algorithm,669,12
Genetic Algorithm,670,13
Genetic Algorithm,671,12
Genetic Algorithm,672,12
Genetic Algorithm,673,10
Genetic Algorithm,674,6
Genetic Algorithm,675,16
Genetic Algorithm,676,16
Genetic Algorithm,677,13
Genetic Algorithm,678,9
Genetic Algorithm,679,8
Genetic Algorithm,680,13
Genetic Algorithm,681,13
Genetic Algorithm,682,7
Genetic Algorithm,683,11
Genetic Algorithm,684,11
Genetic Algorithm,685,13
Genetic Algorithm,686,10
Genetic Algorithm,687,11
Genetic Algorithm,688,11
Genetic Algorithm,689,13
Genetic Algorithm,690,8
Genetic Algorithm,691,13
Genetic Algorithm,692,17
Genetic Algorithm,693,15
Genetic Algorithm,694,13
Genetic Algorithm,695,10
Genetic Algorithm,696,9
Genetic Algorithm,697,11
Genetic Algorithm,698,13
Genetic Algorithm,699,10
Genetic Algorithm,700,7
Genetic Algorithm,701,11
Genetic Algorithm,702,13
Genetic Algorithm,703,15
Genetic Algorithm,704,12
Genetic Algorithm,705,12
Genetic Algorithm,706,10
Genetic Algorithm,707,11
Genetic Algorithm,708,10
Genetic Algorithm,709,14
Genetic Algorithm,710,19
Genetic Algorithm,711,8
Genetic Algorithm,712,8
Genetic Algorithm,713,14
Genetic Algorithm,714,10
Genetic Algorithm,715,16
Genetic Algorithm,716,10
Genetic Algorithm,717,9
Genetic Algorithm,718,9
Genetic Algorithm,719,8
Genetic Algorithm,720,10
Genetic Algorithm,721,7
Genetic Algorithm,722,12
Genetic Algorithm,723,11
Genetic Algorithm,724,5
Genetic Algorithm,725,13
Genetic Algorithm,726,9
